"lat","lon","pressure","temperature","humidity"
42.669,23.231,93690.5082121212,19.8570151515152,49.4582878787879
42.675,23.24,94083.9415345802,26.5259216804695,41.4888762134591
42.669,23.249,94451.4009728239,20.9555021662072,57.0305474596298
42.678,23.254,94809.787632554,25.2094340104766,53.4271151143478
42.676,23.255,94331.3287654321,27.4766666666667,31.7374074074074
42.671,23.258,94709.7003765359,23.3388069758224,52.2856638921918
42.645,23.265,92988.0732257351,23.7698795047535,53.2041134202963
42.737,23.27,95596.250697269,22.9950528762347,44.3427751307379
42.738,23.272,95650.2799715764,25.5646148598715,49.6841060769712
42.663,23.273,94744.2443791012,21.5253359913614,53.0645867596976
42.665,23.278,94783.8152003562,25.205668490014,48.7522770639868
42.645,23.281,93675.0959139934,20.6409513274336,55.8174488384956
42.666,23.284,94765.7572564962,27.4663544470692,41.75749546778
42.662,23.289,94793.6731095041,28.9320661157025,40.3774276859504
42.698,23.291,95443.1992818473,28.2925494420506,43.2370047508563
42.665,23.293,94689.458692746,27.8516666666667,38.2129448827526
42.68,23.293,95015.5110538449,25.4645035402602,44.8587156265437
42.738,23.293,95477.67720972,26.1974847073349,48.2799001066278
42.629,23.301,92554.3174457187,22.737695690903,53.9451141298296
42.685,23.301,95078.233684712,26.2823780596748,43.6758322911083
42.689,23.307,95167.987722326,29.2642601956689,39.8994679564692
42.708,23.308,95419.6655563485,27.3327836636109,40.369261129714
42.64,23.31,93981.4430836174,26.1586431213286,52.9529516281094
42.671,23.31,95127.4434424342,27.2403081140351,43.5920153508772
42.677,23.311,95212.3157015986,23.923364231794,51.0208769982238
42.68,23.311,95246.613258427,23.8160674157303,42.0650561797753
42.654,23.316,94812.3546101497,24.4196765830579,47.159125672435
42.669,23.318,94712.8590479635,26.7985811261963,41.3291381037169
42.66,23.319,94803.2013769984,25.3350320489207,50.095219185147
42.694,23.32,95416.7125944087,26.0052282718972,43.2631929883891
42.625,23.321,93267.802633121,25.3867757961783,44.6648433121019
42.706,23.322,95640.6318084507,22.3348732394366,50.3998816901408
42.69,23.324,95400.0564986194,27.1846771176628,43.3392233009709
42.691,23.324,95296.551064764,25.5767118551043,46.8321525795829
42.671,23.325,95158.3661395349,28.8088372093023,39.5499418604651
42.692,23.327,95526.5550902982,24.6562841243175,45.9821997060059
42.654,23.33,94703.071643242,24.9713557039119,49.1949918013586
42.692,23.332,95444.7936921477,24.9993823308488,48.1970913503207
42.7,23.332,95560.6414584801,27.3913850025164,45.5909280322094
42.693,23.333,95445.0514296754,23.6956963764383,47.581049287309
42.651,23.335,94848.0578694005,25.6061912190773,44.8789698016492
42.683,23.335,95377.1286226909,25.4321919456437,44.930937079765
42.721,23.336,95614.8926684953,22.3006661442006,51.6831347962382
42.694,23.341,95391.5401603442,22.0061712944857,51.2517911615174
42.657,23.349,94910.6064238749,23.2559947851718,52.5782796735064
42.686,23.351,96901.8113052444,12.8030902467524,52.7154168671386
42.685,23.354,95216.2794696705,28.0454733086126,36.6928363534597
42.704,23.354,95493.431474469,26.148656884208,43.6401005857642
42.675,23.356,94891.6174447761,37.4389134328358,21.4540358208955
42.685,23.356,95293.0012309436,25.8920124681213,42.5447271181638
42.693,23.359,95346.9355540418,25.854017938238,45.6987965485922
42.694,23.36,95210.4992894957,26.3017024240736,45.8242596823628
42.7,23.36,95539.3951753898,26.6316213808463,41.9113363028953
42.671,23.364,95190.6719084643,27.0033570443893,42.0984306589468
42.622,23.366,94299.4685197784,23.8498535140177,51.7819597300708
42.662,23.368,94893.6291666667,20.2491666666667,57.4291666666667
42.702,23.371,95706.0292006373,26.25369574772,46.0417289308867
42.664,23.373,95319.4478612717,26.0141786652654,46.3211329479769
42.703,23.373,95618.4017148234,24.0879248311746,50.8062913760655
42.706,23.38,95694.21726554,28.7498407333142,40.5847161271842
42.665,23.392,95429.7024231425,27.2861656492328,40.1593147445416
42.651,23.393,94933.5409115599,24.42868454039,47.9369665738162
42.59,23.396,92757.4347287826,22.3080451013256,56.3314353192138
42.709,23.398,95773.6691008495,23.7962289896982,48.9994053858666
42.686,23.4,95552.1362430692,24.1199871184542,49.6204827779334
42.624,23.406,95098.6917988615,26.3910208728653,43.5674967741936
42.71,23.419,95726.1055343233,25.7713101709162,48.0114850098067
